run,camcol,field,obj,rowc,colc
109,3,174,829,641.3237,1057.221
109,3,174,831,712.514,733.6898
109,3,175,134,87.48463,1164.864
109,3,175,852,875.2939,929.6061
109,3,177,238,735.8033,691.1033
109,3,178,254,1041.035,296.5391
109,3,178,255,1130.77,262.3154
109,3,178,261,1075.127,232.1867
109,3,178,1247,155.4574,580.2021
109,3,180,1030,691.9673,287.4184
211,1,355,1951,1410.978,1620.238
109,3,184,207,719.8723,717.705
109,3,186,340,1030.227,1304.603
211,1,356,2741,951.6685,1912.297
211,1,357,353,405.5893,676.3846
109,3,187,407,444.1474,193.1587
211,1,357,890,1113.442,514.1213
211,1,357,1555,609.0036,1812.627
211,1,358,797,1346.063,428.977
211,1,358,1179,179.5723,1046.198
109,3,191,482,326.2913,345.0599
109,3,191,493,364.2596,343.7889
211,1,358,1679,1130.835,1665.433
211,1,358,2358,1001.135,821.2929
211,1,359,79,143.7526,1326.467
109,3,192,299,1341.66,1719.441
109,3,192,1013,527.1415,530.4054
211,1,359,897,1101.568,1752.272
109,3,193,323,1095.506,1617.667
109,3,197,98,1197.081,1577.936
109,3,197,271,1391.729,415.3162
109,3,198,229,1070.71,828.9662
109,3,198,234,1103.874,1138.341
211,1,364,2426,1421.154,654.4943
211,1,364,2885,791.3007,135.0165
211,1,367,310,185.7781,574.4054
211,1,367,2194,1269.337,1443.363
211,1,367,2494,1155.261,1297
211,1,368,2483,754.2657,985.0701
211,1,369,3732,1431.375,1820.526
211,1,370,270,323.4607,1473.678
211,1,370,274,387.946,1478.412
211,1,370,939,1038.768,678.4216
211,1,371,284,1284.205,1612.872
211,1,374,2448,1344.661,637.2988
211,1,374,2629,447.6642,469.5378
211,1,375,2984,476.2082,375.7592
211,1,376,2431,187.8929,1435.488
211,1,377,2929,962.3593,1369.029
211,1,378,381,611.5112,1482.895
211,1,378,2418,198.912,1693.076
211,1,379,76,166.4117,1606.928
211,1,380,1183,557.6245,592.2393
211,1,380,1910,243.2745,1213.228
211,1,381,1628,1307.6,79.58121
211,1,381,2574,961.008,1576.079
211,1,382,450,912.9073,1803.308
211,1,382,1804,871.2623,920.394
211,1,382,2340,488.9217,850.6982
211,1,382,2352,535.1581,1513.898
211,1,385,346,548.4409,253.2199
109,4,149,317,1049.574,568.6707
109,4,153,127,115.5764,549.3957
109,4,153,136,150.5324,618.075
109,4,155,181,628.683,1302.671
109,4,156,18,381.8596,1740.775
109,4,157,176,265.0203,181.8117
109,4,159,814,737.4648,1101.458
109,4,162,592,694.3171,1223.616
109,4,167,159,276.9174,564.7303
109,4,167,166,314.5852,438.6985
109,4,167,172,516.9023,1910.958
109,4,168,160,981.2448,1659.976
109,4,168,167,1096.448,98.37527
109,4,173,37,792.913,528.7462
109,4,173,417,679.0912,325.2176
109,4,173,610,647.6785,381.4218
109,4,173,611,634.3413,370.5728
109,4,173,615,641.4129,326.1832
109,4,175,259,966.4233,1397.74
109,4,175,262,1001.334,1764.038
109,4,178,259,1291.97,1575.133
109,4,178,274,192.0724,1329.505
109,4,178,276,193.5531,1466.013
109,4,182,278,550.3871,470.8141
109,4,182,280,556.6324,702.7949
109,4,182,293,613.4551,500.884
109,4,184,350,941.1574,93.88159
109,4,184,356,1145.068,433.6875
109,4,186,425,470.1035,958.0579
109,4,186,925,106.3589,981.937
109,4,187,735,1170.755,1255.631
109,4,189,932,478.5814,1062.267
109,4,190,833,917.8354,1728.553
109,4,193,154,501.0823,1003.13
109,4,195,103,1009.232,230.0787
109,4,196,186,412.6665,364.0793
109,4,196,863,126.2139,66.12022
109,4,199,152,759.3188,1873.157
109,4,199,336,711.2194,1356.729
